ID,date,Open,High,Low,Close,Volume
598,04/06/2020 0:00,0.86,0.86,0.81,0.83,1310500
599,05/06/2020 0:00,0.84,0.85,0.81,0.83,953500
600,08/06/2020 0:00,0.86,0.86,0.81,0.82,1538500
601,09/06/2020 0:00,0.81,0.85,0.8,0.81,2701000
602,10/06/2020 0:00,0.81,0.83,0.8,0.8,3387000
603,11/06/2020 0:00,0.81,0.85,0.8,0.83,2200500
604,12/06/2020 0:00,0.84,0.85,0.78,0.83,1399500
605,15/06/2020 0:00,0.81,0.84,0.8,0.8,1288000
606,16/06/2020 0:00,0.84,0.85,0.79,0.84,2240500
607,17/06/2020 0:00,0.84,0.9,0.83,0.84,3202000
608,18/06/2020 0:00,0.87,0.87,0.81,0.83,968500
609,19/06/2020 0:00,0.83,0.85,0.8,0.81,1032000
610,22/06/2020 0:00,0.81,0.84,0.79,0.81,1050000
611,23/06/2020 0:00,0.84,0.84,0.8,0.82,776000
612,24/06/2020 0:00,0.81,0.84,0.8,0.8,4054500
613,25/06/2020 0:00,0.83,0.97,0.83,0.87,19554000
614,26/06/2020 0:00,0.93,0.93,0.83,0.85,2761000
615,29/06/2020 0:00,0.85,0.93,0.85,0.9,2468500
616,30/06/2020 0:00,0.9,0.91,0.86,0.87,1459500
617,01/07/2020 0:00,0.9,0.96,0.88,0.94,11208000
618,02/07/2020 0:00,1.04,1.14,1,1.05,52827000
619,03/07/2020 0:00,1.03,1.05,0.93,0.96,8769500
620,06/07/2020 0:00,0.98,1,0.91,0.96,5932500
621,07/07/2020 0:00,0.97,1,0.95,0.99,4817500
622,08/07/2020 0:00,1.03,1.07,1,1.05,13545500
623,09/07/2020 0:00,1.08,1.09,1.02,1.06,8490500
624,10/07/2020 0:00,1.04,1.06,1,1.01,4997500
625,13/07/2020 0:00,1.01,1.04,0.97,0.99,6835000
626,14/07/2020 0:00,1,1.01,0.97,0.99,2721000
627,15/07/2020 0:00,1.04,1.04,0.96,0.98,3257500
628,16/07/2020 0:00,1.01,1.01,0.95,0.96,2406500
629,17/07/2020 0:00,0.99,0.99,0.92,0.94,2749000
630,20/07/2020 0:00,0.99,0.99,0.91,0.94,6693500
631,21/07/2020 0:00,0.98,0.98,0.89,0.93,14071000
632,22/07/2020 0:00,0.96,0.98,0.92,0.94,2878000
633,23/07/2020 0:00,0.97,0.96,0.9,0.91,5174000
634,24/07/2020 0:00,0.91,0.93,0.88,0.89,3802000
635,27/07/2020 0:00,0.92,0.92,0.86,0.88,3345500
636,28/07/2020 0:00,0.92,0.97,0.89,0.96,3992500
637,29/07/2020 0:00,0.96,0.99,0.91,0.95,7071000
638,30/07/2020 0:00,0.99,1.05,0.96,1.01,16879000
639,03/08/2020 0:00,1.01,1.03,0.97,1.01,5931000
640,04/08/2020 0:00,1,1,0.95,0.96,3508000
641,05/08/2020 0:00,0.98,1.07,0.95,1.01,13091000
642,06/08/2020 0:00,1.02,1.47,1.02,1.43,242817000
643,07/08/2020 0:00,1.53,1.65,1.45,1.48,144414000
644,10/08/2020 0:00,1.5,1.55,1.25,1.34,35836000
645,11/08/2020 0:00,1.37,1.4,1.25,1.29,21865500
646,12/08/2020 0:00,1.29,1.29,1.2,1.22,19310000
647,13/08/2020 0:00,1.21,1.4,1.17,1.34,33450500
648,17/08/2020 0:00,1.44,1.46,1.33,1.36,15049500
649,18/08/2020 0:00,1.41,1.42,1.31,1.32,12240500
650,19/08/2020 0:00,1.31,1.35,1.27,1.28,8507500
651,20/08/2020 0:00,1.31,1.35,1.26,1.27,7799000
652,21/08/2020 0:00,1.25,1.27,1.18,1.21,23982500
653,24/08/2020 0:00,1.18,1.27,1.18,1.18,20175500
654,25/08/2020 0:00,1.19,1.22,1.17,1.19,13596000
655,26/08/2020 0:00,1.2,1.23,1.17,1.18,6840000
656,27/08/2020 0:00,1.2,1.24,1.18,1.2,5270500
657,28/08/2020 0:00,1.2,1.23,1.18,1.19,4084500
658,31/08/2020 0:00,1.19,1.2,1.17,1.18,3453500
659,01/09/2020 0:00,1.19,1.21,1.17,1.19,3968500
660,02/09/2020 0:00,1.24,1.27,1.2,1.23,7414000
661,03/09/2020 0:00,1.25,1.36,1.23,1.31,19085500
662,04/09/2020 0:00,1.34,1.34,1.28,1.32,6849500
663,07/09/2020 0:00,1.36,1.37,1.28,1.34,7365500
664,08/09/2020 0:00,1.31,1.34,1.25,1.25,9955000
665,09/09/2020 0:00,1.29,1.44,1.24,1.36,37670500
666,10/09/2020 0:00,1.45,1.5,1.37,1.39,42902000
667,11/09/2020 0:00,1.4,1.45,1.32,1.34,5963000
668,14/09/2020 0:00,1.35,1.38,1.28,1.3,5645000
669,15/09/2020 0:00,1.35,1.35,1.26,1.33,8471000
